# Cross-section of pi- proton scattering based on resonance formation
#   sqrt(s) [GeV]             sigma [mbarn]    	  	    p_lab [GeV]
   2.0478500000000004        15.298419386860129        1.7497255585991203     
   2.0578500000000002        14.832205093268900        1.7716732907978676     
   2.0678500000000000        14.393076732655196        1.7937262471962030     
   2.0778500000000002        13.978827533995343        1.8158844653122121     
   2.0878500000000004        13.587399702742822        1.8381479813146915     
   2.0978500000000002        13.216898309140339        1.8605168300830275     
   2.1078500000000000        12.865592832515770        1.8829910452639222     
   2.1178500000000002        12.531911447952581        1.9055706593251343     
   2.1278500000000005        12.214431341275787        1.9282557036064443     
   2.1378500000000003        11.911867135058243        1.9510462083679876     
   2.1478500000000000        11.623058714277168        1.9739422028361344     
   2.1578500000000003        11.346959222219033        1.9969437152470397     
   2.1678500000000005        11.082623663367297        2.0200507728880117     
   2.1778500000000003        10.829198337934308        2.0432634021368270     
